name,website,country,maturity,score,tier,matched_rules
Earthian AI,https://earthianai.com/,NL,startup,86,Tier 1: Must Meet,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
anyconcept,https://ghosts.anyconcept.ai/,AT,startup,80,Tier 1: Must Meet,Rule 2: Service Providers; Rule 5: Dev & Legacy
Salute360,https://salute360business.eu/en/,IT,startup,76,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Possibia AS,https://possibia.com,NO,startup,75,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Aadrila Technologies Private Limited,https://www.aadrila.com/,IN,scaleup,75,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Datawhisper LTD,https://www.datawhisper.co.uk,GB,startup,75,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Root Signals,www.rootsignals.ai,Finland,Undisclosed,74,Tier 2: High Priority,Rule 1: Platform Enablers
RAE.,https://www.wearerae.com/,GB,startup,74,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Obriy AI,https://about.obriy.ai/en/,UA,1 - Emerging,72,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Avora,,SE,startup,72,Tier 2: High Priority,Rule 1: Platform Enablers
Chapter.works,https://www.chapter.works,NL,startup,71,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
arterioscope FlexCo,https://arterioscope.com/,AT,startup,71,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
HealthSageAI,https://healthsage.ai/,NL,startup,71,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Radarme Sp. z o.o.,https://wemates.ai/,PL,startup,69,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Mindflow,https://mindflow.io/,FR,startup,69,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Lintu.ai,https://lintu.ai/,FI,Undisclosed,68,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 2: Service Providers
Mee Solution Consulting,https://meesolution.com/,TH,startup,68,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 5: Dev & Legacy
PhotonSense Tech,https://www.photonsensetech.de,DE,Undisclosed,67,Tier 2: High Priority,Rule 1: Platform Enablers
ONESOFTDIGM,https://www.onesoftdigm.com,KR,scaleup,67,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 4: Health Innovations
Simplifai,www.simplifai.ai,Norway,Undisclosed,66,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
Nolana AI,www.nolana.com,United Kingdom,Undisclosed,66,Tier 2: High Priority,Rule 1: Platform Enablers; Rule 3: Insurance Solutions
