id,name,website,shortDescription,billingCountry,billingCity,maturity,employees,totalFunding,currentInvestmentStage,dateFounded,is_enriched
44746,Hookle,https://hookle.ai/first-cmo,AI agents are redefining how 300 million micro-businesses handle marketing — and Hookle is leading this transformation. We’re introducing AI agent-powered teams that bring professional marketing capab,FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
44763,SEC Technologies,https://www.sec-technologies.com/,"SEC Technologies, s.r.o. is a young and dynamic company building on 30 years of R&D in the area of opto-electronics. The company has developed the only active stand-off detector of chemical warfare ag",SK,Liptovsky Mikulas,scaleup,Undisclosed,,Undisclosed,2011-01-01T00:00:00.000Z,
44779,Proseduuri Oy,https://www.proseduuri.fi,"Proseduuri+Cloud is a platform where customer can easily onboard to our business solutions (procedures) using AI supported onboarding. Today we have web-based cloud erp for retail and wholesale, large",FI,Tampere,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
44811,Integrify,https://www.integrify.io,"Integrify is a bootstrapped & profitable tech talent platform operating in Europe and the Middle East. 

Over 150 leading companies trust our AI-powered platform to find the perfect match amongst a po",FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
44821,Ultimate,https://www.ultimate.ai,AI Agents for customer service,FI,Helsinki,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
44831,Sastech AS,https://sastech.no/,"Sastech helps commercial real estate owners and tenants reduce energy consumption by feeding real-time sensor data into the Sastech platform, providing building energy consumption insight and active c",NO,Larvikk/Oslo,scaleup,Undisclosed,,Undisclosed,2019-01-01T00:00:00.000Z,
44838,DeoVR,https://deovr.com,DeoVR is a one-stop shop for virtual reality video. It is a VR video player and a streaming platform with many thousands of high-quality VR videos. The app is packed with groundbreaking features and d,SI,Ljubljana,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
44841,EVERIMPACT,https://www.everimpact.com/,"Everimpact is a leader in measuring greenhouse gas (GHG) emissions directly at the source. Founded by three former United Nations leaders with expertise in climate change, satellite imagery, and clima",FR,PARIS,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
44842,Oyster ,https://www.oysterhr.com/,"Oyster is your global employment platform to hire, pay, reward, and manage full-time talent and contractors in 180+ countries without opening an entity.",US,Delaware,scaleup,Undisclosed,,Undisclosed,2020-01-01T00:00:00.000Z,
44845,Fusebox Energy,https://www.fusebox.energy,"The energy industry has spent years piecing together disconnected systems — each vendor promising results, every integration taking months, and switching partners feeling almost impossible. Fusebox OS",EE,Tallinn,scaleup,Undisclosed,,Undisclosed,2014-01-01T00:00:00.000Z,
44847,Safesize,https://www.safesize.com/,"SafeSize’s proprietary platform combines three key components:

- 3D Foot Scanning Technology – capturing highly accurate measurements of each consumer’s feet in seconds, both in-store and via mobile ",GR,Athens,scaleup,Undisclosed,,Undisclosed,2013-01-01T00:00:00.000Z,
44870,DTE,https://www.dte.ai/,"DTE is the category leader transforming the $500B molten aluminum value chain with our patented in-process molten metal analyzers and AI-based process insights - maximizing throughput, quality and scr",IS,Reykjavik,scaleup,Undisclosed,,Undisclosed,2014-01-01T00:00:00.000Z,
44875,ITEM42 LTD,https://www.item42.com/,"We create modern first-person shooter experiences with a focus on world-immersion storytelling, pushing the boundaries of interactive fidelity as indie developers. 

We published our first game, PERIS",GB,Brighton,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
44879,Solar Foods Oyj,https://www.investors.solarfoods.com/,"Solar Foods is a global leader in sustainable protein production. Our proprietary hydrogen fermentation technology converts carbon dioxide, electricity, and nutrients into Solein® — a natural, nutriti",FI,Vantaa,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
44912,Ruuvi Innovations Oy,https://ruuvi.com,"Ruuvi Innovations stands at the forefront of sensor technology, dedicated to transforming the way individuals and businesses interact with and understand their environments. With a commitment to preci",FI,Kokkola,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
44919,Databricks,https://www.databricks.com/,Data Intelligence Platform,US,San Francisco,scaleup,Undisclosed,,Undisclosed,2013-01-01T00:00:00.000Z,
44923,Inari Agriculture ,https://inari.com/,"Inari, the SEEDesign™ company, develops seeds that address the world’s needs, pushing the boundaries of what is possible for a more sustainable, nature-positive food system. Through a combination of A",US,Cambridge,scaleup,Undisclosed,,Undisclosed,2016-01-01T00:00:00.000Z,
44970,Xiphera Oy,https://xiphera.com,"Xiphera designs and licenses hardware-based security solutions using standardised cryptographic algorithms. We have strong security expertise, extensive experience in system design, and deep knowledge",FI,Espoo,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
44973,Supabase,https://supabase.com/,"Supabase is the open-source Postgres development platform that’s built to scale to millions. It is an all-in-one suite with Database, Auth, Storage, Edge Functions, Real-Time, and Vector search. Use o",SG,Singapore,scaleup,Undisclosed,,Undisclosed,2020-01-01T00:00:00.000Z,
44988,Katana,https://www.katanamrp.com,Cloud Inventory Platform for SMBs,EE,Tallinn,scaleup,Undisclosed,,Undisclosed,2017-01-01T00:00:00.000Z,
44996,InfoBeans,https://www.infobeans.com,Develops highly scalable and ai driven software to help enterprises scale and grow,IN,Indore,scaleup,Undisclosed,,Undisclosed,2000-01-01T00:00:00.000Z,
44998,Distran,https://distran.swiss/,"Tech leader in ultrasound leak detection—sensors + cloud software for safer, cleaner, reliable operations.",CH,Zurich,scaleup,Undisclosed,,Undisclosed,2013-01-01T00:00:00.000Z,
45020,SpinDrive,https://spindrive.fi/,SpinDrive improves the energy efficiency of industrial processes by providing active magnetic bearing (AMB) system with IoT condition monitoring for the high-speed machinery sector. We reduce rotating,FI,Lappeenrnata,scaleup,Undisclosed,,Undisclosed,2015-01-01T00:00:00.000Z,
