Company Name,Confidence,Website,Industry,Top Keywords,B2B Indicators,Description
Nolana AI,100,https://nolana.com,ai,"intelligent automation, ai workflow, workflow automation",platform,AI workflow automation for financial services
Normain,100,https://normain.com/,enterpriseSoftware,"agentic ai, ai agent, agentic","enterprise, platform",AI platform for automating knowledge work
Intelswift,100,https://intelswift.com,enterpriseSoftware,"ai workflow, ai agent, ai customer service","enterprise, saas",AI-powered customer service platform.
Obriy AI,100,https://about.obriy.ai/en/,ai,"agentic ai, agent platform, agentic","enterprise, platform","Obriy AI provides enterprise-grade AI-powered customer support automation through its SURE platform,"
Avora,100,,ai,"enterprise ai, multi-agent, agent orchestration","enterprise, platform",Avora solves the $47B enterprise AI coordination problem. We've built the first true multi-agent orc
Starcart,100,https://starcart.com,ai,"agentic ai, ai agent, agentic",platform,AI-driven e-commerce integration platform
distil labs,100,https://distillabs.ai/,ai,"multi-agent, agentic ai, rag",platform,"We are developing a platform that allows anyone to easily fine-tune small language model (SLMs). 
Ho"
Datawhisper LTD,100,https://www.datawhisper.co.uk,ai,"agentic ai, rag, ai agent",platform,"DataWhisper is building an Agentic AI platform purpose-built for the payments industry, automating m"
Tendios,100,https://tendios.com/en,ai,"agentic workflow, digital worker, autonomous agent","b2b, saas",AI-driven public procurement platform
TikBox,100,https://tikbox.io,media,"agentic ai, ai agent, agentic","saas, platform","TikBox provides a streamlined platform for managing and licensing creative content, addressing the r"
Mindflow,100,https://mindflow.io/,enterpriseSoftware,"llm, ai agent, agentic","enterprise, platform",Mindflow’s hyperautomation platform blends no-code workflows with autonomous AI agents in a truly ag
RS42.ai,90,https://randomstate42.com/,ai,"multi-agent, agent platform",platform,
Pitch Gap,90,https://pitchgap.kaankarakeben.com/,ai,"ai agent, agent platform",platform,"The website for Pitch Gap is currently inaccessible, and no information about the company, its produ"
Possibia AS,85,https://possibia.com,health,"agentic ai, rag, agentic","platform, api",Clinical trials are the backbone of medical innovation — yet 90% of eligible patients never hear abo
Onky.AI LTD,85,https://onky.ai,ai,"enterprise ai, ai automation, agentic","enterprise, platform",Enterprise AI automation platform
HealthSageAI,85,https://healthsage.ai/,medtechPharma,"generative ai, agentic ai, large language model",platform,"At HealthSage AI, we are dedicated to unlocking the potential of generative AI to address key challe"
Merge.dev,85,https://www.merge.dev,ai,"ai agent, agentic, llm","b2b, enterprise","Merge is the leading provider of agentic tools and customer-facing integrations for frontier LLMs, F"
Hookle,80,https://hookle.ai/first-cmo,marketingAds,"ai agent, agent-based","platform, professional",AI agents are redefining how 300 million micro-businesses handle marketing — and Hookle is leading t
